paper,source_locator,claim_excerpt,claim_type,bearer,target_or_use,excluded_inference,classification_basis,round_a_claim_type,round_b_claim_type,round_b_agreement,adjudication_note
Adversarial Pragmatics,sections/01-evaluation-problem.tex:15,"Reference projectibility concerns the licensed-action relation generated by a frozen stipulated-regime template and output-blind adjudication procedure.",projective_claim,"versioned licensed-action relation generated by the stipulated-regime template and adjudication procedure","declared reference-preserving and reference-changing transformations","configured-system reliability; measurement validity; taxonomic retention","The sentence assigns the proposed extension to the reference bearer rather than to behaviour, scoring, or taxonomy.",projective_claim,projective_claim,agree,
Adversarial Pragmatics,sections/06-experiments.tex:37,"Three pairs passed in all three observed model/configuration cells.",sample_level_result,"24 observed pair-by-configuration cells","description of the finite local pilot sample","stability across models, samples, versions, or variants","The sentence reports only the realized sample and is immediately followed by a no-projection qualification.",sample_level_result,sample_level_result,agree,
Adversarial Pragmatics,sections/06-experiments.tex:60,"On the confidentiality criterion, the protected token still reached the output channel.",item_level_finding,"one AP-SEED-016 prompt-response object","criterion-specific information-flow diagnosis","unsafe intent; enactive use; population frequency","The proposition is directly observable for one response and is kept separate from speech-act status.",item_level_finding,item_level_finding,agree,
Adversarial Pragmatics,sections/04-benchmark-construction.tex:49,"Criterion-separated records may flag item or rubric defects for adjudication.",assessment_interpretation_and_use,"configured benchmark, criterion records, and adjudication procedure","controlled diagnostic use","deployment certification; vendor ranking; general competence","The claim specifies one proposed use of assessment outputs, and the paragraph denies that evidence for it validates the three other proposed uses.",assessment_interpretation_and_use,assessment_interpretation_and_use,agree,
Adversarial Pragmatics,sections/07-metrics.tex:60,"A behavioural claim concerns one versioned evaluation-configuration family, including its enumerated wrappers and context-assembly rules.",projective_claim,"versioned model, scaffold, prompt, inference, wrapper, and context-assembly configuration family","declared held-out cases under the registered tolerance","internal recognition; mechanism; deployment-wide safety","The bearer and its permitted variation are fixed before extension to unobserved cases.",projective_claim,projective_claim,agree,
Adversarial Pragmatics,sections/07a-limitations-next-steps.tex:21,"It supports selective behavioural sensitivity under a named configuration, not a claim that a model internally recognizes authority or possesses a general pragmatic competence.",assessment_interpretation_and_use,"a gate-clearing held-out controlled-contrast result for one named configuration","local diagnosis of selective behavioural sensitivity","internal state; general pragmatic competence; deployment safety","The sentence states the strongest allowed interpretation of a possible Study B result and excludes broader uses.",assessment_interpretation_and_use,assessment_interpretation_and_use,agree,
Delegation Assurance,sections-delegation/03-framework.tex:3,"This paper uses action authorization for the normative proposition that an operation remained within delegated authority in the relevant operational context.",normative_reference_claim,"action or bounded trajectory under authority regime R","authorization status under R","record adequacy; legality under other rules; moral legitimacy","The claim is fixed by the supplied regime and is not constituted by a trace or reviewer verdict.",normative_reference_claim,normative_reference_claim,agree,
Delegation Assurance,sections-delegation/03-framework.tex:5,"A recorded representation states what a trace, policy snapshot, or authorization state encodes.",recorded_representation,"versioned trace, policy snapshot, or recorded authorization state","representation of grants, limits, classifications, and transitions","truth, institutional validity, or historical authorization","The sentence concerns encoded content and explicitly sits below the normative reference.",recorded_representation,recorded_representation,agree,
Delegation Assurance,sections-delegation/03-framework.tex:189,"A valid grant can authorize an action even when an inadequate record makes review unevaluable.",normative_reference_claim,"action under a valid grant and R","authorization of the action","record adequacy or reviewer support","The contrast deliberately holds the normative proposition apart from the evidence available to review it.",normative_reference_claim,normative_reference_claim,agree,
Delegation Assurance,sections-delegation/03-framework.tex:206,"The local-discrimination programme asks whether a controlled change to a synthetic prompt or record package changes a configured evaluator's classification or action in the reference-concordant direction.",causal_or_mechanistic_claim,"named evaluator configuration receiving randomized packages","local effect of assigned package on a prespecified response","effect of normative standing; internal recognition; transport","Random assignment can identify a package effect under assumptions; standing remains an independently constructed reference.",causal_or_mechanistic_claim,causal_or_mechanistic_claim,agree,
Delegation Assurance,sections-delegation/03-framework.tex:283,"The predictive programme asks whether a versioned representation of status, standing, priority, licensing, transitions, and trajectory conditions improves a prespecified out-of-sample prediction over weaker representations.",projective_claim,"versioned prediction procedure, feature schema, training data, and configuration","prespecified held-out traces","legal or institutional authorization verdict","The main sentence specifies an extension from fitted cases to held-out traces; the subsequent sentence states the separate diagnostic interpretation and use.",assessment_interpretation_and_use,projective_claim,disagree,"Adjudicated as projective_claim because the main bearer is a versioned prediction procedure extending to a prespecified out-of-sample target. The following sentence separately states the diagnostic interpretation and use that round A had conflated with the projection."
Delegation Assurance,sections-delegation/03-framework.tex:324,"Every extension beyond observed cases uses a four-block projective package.",projective_claim,"the named evaluation or review bearer in each registered package","declared population, conditions, versions, tolerance, and use","automatic generalization from repeated success","The required declaration, inquiry/use, warrant, and revision blocks force the unobserved target to be explicit.",projective_claim,projective_claim,agree,
Evidentiary Assurance,sections-evidentiary/05-sufficiency-test.tex:3,"Its truth isn't created by the record.",normative_reference_claim,"action or bounded trajectory under R at time t","historical regime-relative authorization","support from a review record; record adequacy","The sentence explicitly denies constitution of the normative proposition by evidence.",normative_reference_claim,normative_reference_claim,agree,
Evidentiary Assurance,sections-evidentiary/05-sufficiency-test.tex:7,"The four verdict families are vectors, not scores.",assessment_interpretation_and_use,"configured node-level review procedure under R, F_review, rho, b, v, c, and u","typed interpretation of action-level review outputs","generic assurance score; historical truth by itself","The statement fixes the structure and interpretation of procedure outputs rather than reporting an item or sample result.",assessment_interpretation_and_use,assessment_interpretation_and_use,agree,
Evidentiary Assurance,sections-evidentiary/05-sufficiency-test.tex:70,"A pristine bundle can document an invalid delegation.",recorded_representation,"one complete and intact evidence bundle","faithful documentation of a supplied grant and trace","validity of the documented grant","The claim contrasts representation quality with the normative status represented.",recorded_representation,recorded_representation,agree,
Evidentiary Assurance,sections-evidentiary/05-research-program.tex:3,"The record-and-verdict test is itself an assessment.",assessment_interpretation_and_use,"configured claim graph, map, reviewer protocol and population, record population, regime, forum, standard, burden, class, and use","forensic action review under supplied parameters","intrinsic validity of the schema or checklist","The object of validation is the configured procedure and proposed interpretation/use.",assessment_interpretation_and_use,assessment_interpretation_and_use,agree,
Evidentiary Assurance,sections-evidentiary/05-sufficiency-test.tex:89,"Action-level verdict vectors don't project themselves.",projective_claim,"named review procedure over unobserved action records","program-level target population, transformations, time, version, and tolerance","population warrant from action-level findings alone","The sentence marks the inferential boundary and requires a separate declaration and warrant.",projective_claim,projective_claim,agree,
Evidentiary Assurance,sections-evidentiary/05-sufficiency-test.tex:95,"It can test whether a reconstructed failure recurs and whether a regression control responds under the reconstructed conditions, but it doesn't estimate prevalence or performance across a deployment.",assessment_interpretation_and_use,"incident-derived reconstructed evaluation set and regression-control procedure","recurrence diagnosis under reconstructed conditions","deployment incidence; representative performance; live-system efficacy","The sentence gives the selected set a bounded diagnostic use while excluding population-level interpretations.",assessment_interpretation_and_use,assessment_interpretation_and_use,agree,
